Team,Win Total	
Atlanta Hawks,49.5	
Boston Celtics,45.5	
Brooklyn Nets,27.5	
Charlotte Hornets,34	
Chicago Bulls,50.5	
Cleveland Cavaliers,56.5	
Dallas Mavericks,	36.5	
Denver Nuggets,	27.5	
Detroit Pistons,	36.5	
Golden State Warriors,59.5	
Houston Rockets,56.5	
Indiana Pacers,41.5	
Los Angeles Clippers,56.5	
Los Angeles Lakers,28.5	
Memphis Grizzlies,50.5	
Miami Heat,46.5		
Milwaukee Bucks,42.5	
Minnesota Timberwolves,27.5	
New Orleans Pelicans,45	
New York Knicks,29.5	
Oklahoma City Thunder,57.5	
Orlando Magic,34.5	
Philadelphia 76ers,20.5	
Phoenix Suns,	36.5	
Portland Trail Blazers,28.5	
Sacramento Kings,36	
San Antonio Spurs,56.5	
Toronto Raptors,46.5	
Utah Jazz,42.5	
Washington Wizards,45.5	